day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,119,150,30,51,1,15,9,39,2,3,2,43,1,11,10,42,0,10,30,51,1,15,9,39,2,3,-16357,0.0,58,9,13358,67,0,0,0
1,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,59,61,9,28,1,4,3,15,0,1,5,15,4,3,10,20,0,2,9,28,1,4,3,15,0,1,-4149,0.0,30,4,2605,34,0,0,0
2,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,43,118,21,49,2,8,6,30,2,0,10,7,0,8,2,12,2,2,21,49,2,8,6,30,2,0,-5467,0.0,19,3,4484,22,0,0,0
3,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,99,56,5,24,1,6,4,14,1,1,9,35,4,1,5,44,0,1,5,24,1,6,4,14,1,1,-5487,0.0,53,4,2793,57,0,0,0
4,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,87,140,22,52,2,10,10,41,1,2,9,24,1,10,7,33,2,1,22,52,2,10,10,41,1,2,-10667,0.0,27,6,9251,33,0,0,0
5,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,3,70,19,24,1,5,2,18,0,1,1,0,0,0,0,2,0,0,19,24,1,5,2,18,0,1,-309,0.0,2,0,209,2,0,0,0
6,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,2,81,9,30,1,3,7,31,0,0,0,2,0,0,0,0,0,0,9,30,1,3,7,31,0,0,-159,0.0,0,0,159,0,0,0,0
7,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,63,71,9,22,2,3,9,24,0,2,1,17,0,10,6,27,0,2,9,22,2,3,9,24,0,2,-4288,0.0,25,1,3027,26,0,0,0
8,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,135,117,24,44,1,1,7,36,0,4,6,54,5,7,5,52,0,6,24,44,1,1,7,36,0,4,-15172,0.0,76,1,11361,77,0,0,0
9,True,reg_37,request_scratch,cau100_afr0_asi0_37,regional_37,50,150,912,70,0,1,0.01,1,0.001,0.98,50,47,92,11,35,3,2,8,31,0,2,6,13,2,1,0,21,2,2,11,35,3,2,8,31,0,2,-4192,0.0,14,2,3470,16,0,0,0
