day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,34,150,27,48,4,3,11,53,0,4,3,18,0,0,2,9,0,2,27,48,4,3,11,53,0,4,-4890,0.0,5,4,4596,9,0,0,0
1,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,78,29,4,14,1,2,2,5,0,1,4,25,4,7,8,29,0,1,4,14,1,2,2,5,0,1,-3571,0.0,53,3,888,56,0,0,0
2,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,140,146,26,60,5,9,7,38,0,1,17,32,2,12,4,65,0,8,26,60,5,9,7,38,0,1,-17500,0.0,63,2,14328,65,0,0,0
3,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,34,81,13,35,0,3,6,23,0,1,2,11,0,3,2,15,0,1,13,35,0,3,6,23,0,1,-2655,0.0,8,1,2244,9,0,0,0
4,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,101,95,14,33,1,6,6,33,1,1,5,49,1,9,11,25,0,1,14,33,1,6,6,33,1,1,-9650,0.0,54,5,6895,59,0,0,0
5,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,5,102,15,35,3,10,8,29,0,2,0,0,0,0,0,5,0,0,15,35,3,10,8,29,0,2,-612,0.0,2,1,501,3,0,0,0
6,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,2,51,7,23,1,2,3,15,0,0,0,0,0,0,0,2,0,0,7,23,1,2,3,15,0,0,-151,0.0,1,0,101,1,0,0,0
7,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,42,100,26,35,3,7,14,15,0,0,3,9,1,8,2,17,0,2,26,35,3,7,14,15,0,0,-4123,0.0,11,4,3529,15,0,0,0
8,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,83,81,11,32,1,5,5,26,0,1,0,31,0,4,4,35,4,5,11,32,1,5,5,26,0,1,-5968,0.0,32,5,4313,37,0,0,0
9,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,58,120,15,51,5,11,4,32,0,2,9,9,0,4,5,29,0,2,15,51,5,11,4,32,0,2,-6390,0.0,14,8,5602,22,0,0,0
10,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,28,74,9,30,0,8,4,22,0,1,3,15,0,4,0,6,0,0,9,30,0,8,4,22,0,1,-2249,0.0,9,0,1799,9,0,0,0
11,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,47,95,22,30,1,4,7,31,0,0,3,24,2,2,0,16,0,0,22,30,1,4,7,31,0,0,-4611,0.0,17,1,3750,18,0,0,0
12,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,10,85,12,30,0,4,4,34,0,1,2,7,0,0,0,0,0,1,12,30,0,4,4,34,0,1,-1074,0.0,5,0,824,5,0,0,0
13,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,0,70,10,24,2,2,7,25,0,0,0,0,0,0,0,0,0,0,10,24,2,2,7,25,0,0,0,0.0,0,0,0,0,0,0,0
14,True,reg_41,request_scratch,cau100_afr0_asi0_41,regional_41,50,150,912,70,0,1,0.01,1,0.001,0.98,50,134,80,15,33,0,2,5,25,0,0,11,52,3,2,18,46,0,2,15,33,0,2,5,25,0,0,-9073,0.0,65,8,5735,73,0,0,0
