day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,58,150,24,53,1,8,10,46,3,5,6,23,0,6,0,22,0,1,24,53,1,8,10,46,3,5,-7864,0.0,13,1,7203,14,0,0,0
1,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,90,45,6,12,0,1,3,21,0,2,5,21,0,4,6,44,1,9,6,12,0,1,3,21,0,2,-5353,0.0,60,0,2353,60,0,0,0
2,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,88,135,25,54,2,5,13,35,0,1,5,25,4,4,10,38,0,2,25,54,2,5,13,35,0,1,-11011,0.0,32,4,9367,36,0,0,0
3,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,51,71,10,22,2,4,3,28,1,1,4,13,2,5,6,21,0,0,10,22,2,4,3,28,1,1,-3849,0.0,21,2,2777,23,0,0,0
4,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,74,109,16,38,2,5,10,35,1,2,12,21,2,5,6,20,0,8,16,38,2,5,10,35,1,2,-7782,0.0,32,4,6138,36,0,0,0
5,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,11,83,13,29,0,4,5,31,0,1,2,5,0,0,1,3,0,0,13,29,0,4,5,31,0,1,-1076,0.0,4,1,865,5,0,0,0
6,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,6,74,9,30,1,10,5,18,0,1,0,2,0,0,0,4,0,0,9,30,1,10,5,18,0,1,-475,0.0,1,0,425,1,0,0,0
7,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,71,81,10,29,3,8,3,28,0,0,0,28,0,6,10,22,0,5,10,29,3,8,3,28,0,0,-6171,0.0,35,5,4366,40,0,0,0
8,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,37,105,12,40,3,7,8,32,0,3,4,17,0,6,2,8,0,0,12,40,3,7,8,32,0,3,-3750,0.0,9,1,3289,10,0,0,0
9,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,35,73,8,26,1,4,6,27,0,1,3,12,3,5,2,7,0,3,8,26,1,4,6,27,0,1,-2779,0.0,13,2,2107,15,0,0,0
10,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,86,99,20,38,1,7,11,19,1,2,5,23,0,6,2,47,2,1,20,38,1,7,11,19,1,2,-7252,0.0,29,4,5758,33,0,0,0
11,True,reg_6,request_scratch,cau100_afr0_asi0_6,regional_6,50,150,912,70,0,1,0.01,1,0.001,0.98,50,40,108,16,47,4,4,8,27,1,1,9,9,0,4,6,12,0,0,16,47,4,4,8,27,1,1,-4225,0.0,11,2,3653,13,0,0,0
