day,logged,location,model name,supply scenario,demand scenario,avg daily demand,inventory size,test days,init days,epsilon start,epsilon anneal,epsilon min,epsilon current,learning rate,gamma,batch size,num units requested,num supplied products,num supplied O-,num supplied O+,num supplied B-,num supplied B+,num supplied A-,num supplied A+,num supplied AB-,num supplied AB+,num requests O-,num requests O+,num requests B-,num requests B+,num requests A-,num requests A+,num requests AB-,num requests AB+,num O- in inventory,num O+ in inventory,num B- in inventory,num B+ in inventory,num A- in inventory,num A+ in inventory,num AB- in inventory,num AB+ in inventory,reward,day loss,issued but nonexistent,issued but discarded,num outdates,num shortages,num mismatches A,num mismatches B,num mismatches D
0,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,51,150,24,62,0,8,12,42,0,2,1,24,0,2,3,21,0,0,24,62,0,8,12,42,0,2,-7712,0.0,18,1,6801,19,0,0,0
1,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,25,33,6,12,0,0,4,11,0,0,1,12,0,0,3,7,1,1,6,12,0,0,4,11,0,0,-1173,0.0,11,0,623,11,0,0,0
2,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,94,131,17,49,1,10,8,44,2,0,7,30,0,10,10,35,0,2,17,49,1,10,8,44,2,0,-12061,0.0,44,8,9773,52,0,0,0
3,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,99,69,15,28,0,3,5,14,0,4,8,30,0,6,11,44,0,0,15,28,0,3,5,14,0,4,-6430,0.0,48,5,3975,53,0,0,0
4,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,115,132,24,44,5,8,6,41,0,4,11,41,0,12,4,46,0,1,24,44,5,8,6,41,0,4,-12774,0.0,46,2,10452,48,0,0,0
5,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,0,87,15,30,0,4,6,29,1,2,0,0,0,0,0,0,0,0,15,30,0,4,6,29,1,2,0,0.0,0,0,0,0,0,0,0
6,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,22,63,15,18,0,5,5,20,0,0,3,8,0,3,3,5,0,0,15,18,0,5,5,20,0,0,-1596,0.0,7,2,1224,9,0,0,0
7,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,77,102,18,37,1,6,13,24,1,2,5,18,4,6,5,37,0,2,18,37,1,6,13,24,1,2,-7829,0.0,33,7,6102,40,0,0,0
8,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,57,92,18,31,1,6,4,31,0,1,2,28,0,6,7,9,0,5,18,31,1,6,4,31,0,1,-5104,0.0,19,4,4110,23,0,0,0
9,True,reg_48,request_scratch,cau100_afr0_asi0_48,regional_48,50,150,912,70,0,1,0.01,1,0.001,0.98,50,17,96,13,37,0,11,3,29,1,2,0,6,0,1,0,8,0,2,13,37,0,11,3,29,1,2,-1608,0.0,2,1,1497,3,0,0,0
